"Firstname	",Surname,,,,,,** They have repeating Golfer but issues is theres not mine
Brian,Gay ,,2662,Brian,Gay ,,
Bud,Cauley ,,2663,Bud,Cauley ,,
Jim,Furyk ,,2664,Jim,Furyk ,,
John,Merrick ,,2665,John,Merrick ,,
John,Senden ,,2666,John,Senden ,,
James,Hahn ,,2667,James,Hahn ,,
Freddie,Jacobson ,,2668,Freddie,Jacobson ,,
Scott,Brown ,,2669,Scott,Brown ,,
Fabian,Gomez ,,2670,Fabian,Gomez ,,
Bill,Haas ,,2671,Bill,Haas ,,
Andrew,Landry ,,2672,Andrew,Landry ,,
Webb,Simpson ,,2673,Webb,Simpson ,,
Ben,Taylor ,,2674,Ben,Taylor ,,
Francesco,Molinari ,,2675,Francesco,Molinari ,,
Troy,Merritt ,,2676,Troy,Merritt ,,
C.T.,Pan ,,2677,C.T.,Pan ,,
Chris,Baker ,,2678,Chris,Baker ,,
Ted,Potter Jr,,2679,Ted,Potter Jr,,
Boo,Weekley ,,2680,Boo,Weekley ,,
Andy,Zhang ,,2681,Andy,Zhang ,,
Roger,Sloan ,,2682,Roger,Sloan ,,
Russell,Henley ,,2683,Russell,Henley ,,
Vaughn,Taylor ,,2684,Vaughn,Taylor ,,
Michael,Thompson ,,2685,Michael,Thompson ,,
Jim,Herman ,,2686,Jim,Herman ,,
Chez,Reavie ,,2687,Chez,Reavie ,,
Brice,Garnett ,,2688,Brice,Garnett ,,
Peter,Malnati ,,2689,Peter,Malnati ,,
Matthew,NeSmith ,,2690,Matthew,NeSmith ,,
Bo,Van Pelt,,2691,Bo,Van Pelt,,
Alex,Cejka ,,2692,Alex,Cejka ,,
Brian,Stuard ,,2693,Brian,Stuard ,,
Max,Homa ,,2694,Max,Homa ,,
George,McNeill ,,2695,George,McNeill ,,
Brandt,Snedeker ,,2696,Brandt,Snedeker ,,
Aaron,Baddeley ,,2697,Aaron,Baddeley ,,
Morgan,Hoffmann ,,2698,Morgan,Hoffmann ,,
Tyler,Duncan ,,2699,Tyler,Duncan ,,
Zach,Johnson ,,2700,Zach,Johnson ,,
John,Huh ,,2701,John,Huh ,,
Chad,Campbell ,,2702,Chad,Campbell ,,
Daniel,Chopra ,,2703,Daniel,Chopra ,,
Rich,Beem ,,2704,Rich,Beem ,,
Rob,Oppenheim ,,2705,Rob,Oppenheim ,,
Robert,Allenby ,,2706,Robert,Allenby ,,
Ben,Crane ,,2707,Ben,Crane ,,
Cole,Hammer ,,2708,Cole,Hammer ,,
J.J.,Henry ,,2709,J.J.,Henry ,,
Chris,Stroud ,,2710,Chris,Stroud ,,
Ricky,Barnes ,,2711,Ricky,Barnes ,,
Ryan,Blaum ,,2712,Ryan,Blaum ,,
Tim,Herron ,,2713,Tim,Herron ,,
Roberto,Castro ,,2714,Roberto,Castro ,,
Ryan,Armour ,,2715,Ryan,Armour ,,
David,Hearn ,,2716,David,Hearn ,,
Brendon,Todd ,,2717,Brendon,Todd ,,
Whee,Kim ,,2718,Whee,Kim ,,
Kyle,Stanley ,,2719,Kyle,Stanley ,,
Brandon,Wu ,,2720,Brandon,Wu ,,
Parker,McLachlin ,,2721,Parker,McLachlin ,,
Satoshi,Kodaira ,,2722,Satoshi,Kodaira ,,
Michael,Kim ,,,,,,
Ben,Martin ,,2723,Ben,Martin ,,
Braden,Bailey ,,2724,Braden,Bailey ,,
Kevin,Stadler ,,2725,Kevin,Stadler ,,
Johnson,Wagner ,,2726,Johnson,Wagner ,,
Henrik,Stenson ,,2727,Henrik,Stenson ,,
Tommy,Gainey ,,2728,Tommy,Gainey ,,
Brendon,de Jonge,,2729,Brendon,de Jonge,,
Carlos,Franco ,,2730,Carlos,Franco ,,
John,Rollins ,,2731,John,Rollins ,,
D.A.,Points ,,2732,D.A.,Points ,,
Billy,Hurley III,,2733,Billy,Hurley III,,
Zac,Blair ,,2734,Zac,Blair ,,
David,Lingmerth ,,2735,David,Lingmerth ,,
K.J.,Choi ,,2736,K.J.,Choi ,,
Kiradech,Aphibarnrat ,,2737,Kiradech,Aphibarnrat ,,
Yongjun,Bae ,,2738,Yongjun,Bae ,,
Jung-gon,Hwang ,,2739,Jung-gon,Hwang ,,
Kyongjun,Moon ,,2740,Kyongjun,Moon ,,
Sanghyun,Park ,,2741,Sanghyun,Park ,,
Justin,Rose ,,2742,Justin,Rose ,,
Jeongwoo,Ham ,,2743,Jeongwoo,Ham ,,
Tyrrell,Hatton ,,2744,Tyrrell,Hatton ,,
Tae,Hee Lee,,2745,Tae,Hee Lee,,
Matthew,Millar ,,2746,Matthew,Millar ,,
Jazz,Janewattananond ,,2747,Jazz,Janewattananond ,,
Tomoharu,Ohtsuki ,,2748,Tomoharu,Ohtsuki ,,
Jbe',Kruger ,,2749,Jbe',Kruger ,,
Hyungjoon,Lee ,,2750,Hyungjoon,Lee ,,
Haotong,Li ,,2751,Haotong,Li ,,
Billy,Horschel ,,2752,Billy,Horschel ,,
Rafa,Cabrera Bello,,2753,Rafa,Cabrera Bello,,
Ashun,Wu ,,2754,Ashun,Wu ,,
Wonjoon,Lee ,,2755,Wonjoon,Lee ,,
Tiger,Woods ,,2756,Tiger,Woods ,,
Louis,Oosthuizen ,,2757,Louis,Oosthuizen ,,
Xander,Schauffele ,,2758,Xander,Schauffele ,,
Ian,Poulter ,,2759,Ian,Poulter ,,
Sergio,Garcia ,,2760,Sergio,Garcia ,,
Robert,MacIntyre ,,2761,Robert,MacIntyre ,,
Neil,Schietekat ,,2762,Neil,Schietekat ,,
Tommy,Fleetwood ,,2763,Tommy,Fleetwood ,,
Graeme,McDowell ,,2764,Graeme,McDowell ,,
Yi,Keun Chang,,2765,Yi,Keun Chang,,
Mikumu,Horikawa ,,2766,Mikumu,Horikawa ,,
Justin,Harding ,,2767,Justin,Harding ,,
Joost,Luiten ,,2768,Joost,Luiten ,,
Victor,Perez ,,2769,Victor,Perez ,,
Soomin,Lee ,,2770,Soomin,Lee ,,
Rikuya,Hoshino ,,2771,Rikuya,Hoshino ,,
Jason,Day ,,2772,Jason,Day ,,
Kevin,Kisner ,,2773,Kevin,Kisner ,,
